time,seconds_elapsed,z,y,x
1760565906248623000,0.103623046875,1.3691425733476876,0.5297403520546853,2.553125563177466
1760565906258652200,0.113652099609375,2.648610720989108,0.33042131028100846,3.387098599028587
1760565906268681000,0.123680908203125,2.184170085710287,0.07914616355970501,3.0643627286836503
1760565906278710000,0.1337099609375,1.3634189350038766,-0.4046934380635619,2.9523610280960795
1760565906288739300,0.1437392578125,0.1827431700259447,-0.6647254533447324,3.234595961226523
1760565906298768100,0.15376806640625,-0.8466670977294445,-0.9066526337452232,3.2928008974358436
1760565906308797200,0.163797119140625,-2.6490608028441667,-1.408575589069724,2.6772218984454867
1760565906318826200,0.173826171875,-4.821069910639524,-2.0531645555756985,2.001863553535938
1760565906328854800,0.183854736328125,-6.55693158070445,-2.3440737935490903,1.7346061170458793
1760565906338883800,0.1938837890625,-7.927696786817908,-2.460237436121702,1.522511910981685
1760565906348912600,0.20391259765625,-8.71625364088416,-2.3086712023869156,1.5523637361489235
1760565906358941700,0.213941650390625,-8.693208865383268,-1.8923820190757512,1.8460121898278592
1760565906368970800,0.223970703125,-7.793007161343097,-1.2601593437984584,2.0820650713674724
1760565906378999800,0.233999755859375,-6.268507437545061,-0.6141654789306223,2.224893725764751
1760565906389028900,0.24402880859375,-4.346033062544465,-0.039135530612804,2.179278952667862
1760565906399056600,0.254056640625,-2.378393850171566,0.42762386646978556,1.9681974307775496
1760565906409085700,0.264085693359375,-0.6370587171316147,0.7349016901157795,1.801034399460256
1760565906419114800,0.27411474609375,0.8012234434157609,0.9965561189670115,1.8407829108722507
1760565906429143800,0.284143798828125,2.0052759923279284,1.2378222781755028,2.0396471946157515
1760565906439172900,0.2941728515625,3.246704624432325,1.3799129736870526,2.495491704854369
1760565906449202000,0.304201904296875,4.468860400789976,1.3566736985273657,3.0161653917476534
1760565906459231000,0.31423095703125,4.375364370968938,1.3991699012123047,2.5489976695924996
1760565906469259800,0.324259765625,4.374662360179424,1.2655515582308172,2.176384692531079
1760565906479288800,0.334288818359375,4.165764758199453,1.0839493749335407,1.9917672530658541
1760565906489318000,0.34431787109375,3.8828351208031173,0.968624375142157,1.8019653967000544
1760565906499346700,0.3543466796875,3.8240187746971843,0.9904042452737688,1.2185903389610349
1760565906509375700,0.364375732421875,3.7527269778996706,0.9870067117899656,0.49899022634085266
1760565906519404800,0.37440478515625,3.72421107751131,0.9428659567683935,-0.17870573120340705
1760565906529433600,0.38443359375,3.6484237228602168,0.9585331892386079,-0.7778569616798311
1760565906539463000,0.394462890625,3.6578538145065305,1.1564451406933367,-1.2465239094167948
1760565906549492000,0.404491943359375,3.792693077585101,1.3986848941743373,-1.443061211517453
1760565906559520800,0.414520751953125,3.933306832411885,1.4932584900990127,-1.2122218999076635
1760565906569549800,0.4245498046875,3.9543987202793356,1.5305685223177075,-0.8687249080196022
1760565906579579000,0.434578857421875,3.730985101690888,1.5146050833798943,-0.5912600388351827
1760565906589607700,0.444607666015625,3.1182962711840867,1.41693834374547,-0.5022230707822367
1760565906599636700,0.45463671875,2.2995330794245,1.4469804307878016,-0.8247298450790346
1760565906609665800,0.464665771484375,1.5624223349571227,1.6178975539416074,-1.4136831413418054
1760565906619694600,0.474694580078125,0.9328764776736498,1.6903697926953434,-1.9228155896537005
1760565906629724000,0.484723876953125,0.4510410554796457,1.6473410905689,-2.230423156710714
1760565906639751700,0.494751708984375,0.12679215022325516,1.5572389409698546,-2.3253692392095924
1760565906649780700,0.50478076171875,-0.1829039135456085,1.4032467952623962,-2.2586606785491106
1760565906659809800,0.514809814453125,-0.5600251618117094,1.2405258380457758,-2.193274452533573
1760565906669838800,0.5248388671875,-0.9038760086387395,1.1538475254155696,-2.057928408976644
1760565906679867600,0.53486767578125,-1.173877775400877,1.0506214711535722,-1.882862349449843
1760565906689896700,0.544896728515625,-1.3750392301708458,0.9317121831346302,-1.8120244338996707
1760565906699926000,0.554926025390625,-1.404351249372959,0.9199995335090905,-1.9556040527947245
1760565906709954800,0.564954833984375,-1.225690964746475,1.0835022887531667,-2.319066485803574
1760565906719983900,0.57498388671875,-1.0072790999680756,1.2320701443895696,-2.61106454192698
1760565906730013000,0.585012939453125,-0.9104150550186634,1.2252945858400315,-2.615897661171853
1760565906740041700,0.595041748046875,-0.9284639219284057,1.1574372204706072,-2.4715067258939145
1760565906750070800,0.60507080078125,-0.8816706065714359,1.134783855440095,-2.307518232959509
1760565906760099800,0.615099853515625,-0.8775573260337114,1.0743420270241797,-2.29912332957983
1760565906770128600,0.625128662109375,-0.9128156864196062,1.007102135965973,-2.365187162595987
1760565906780157700,0.63515771484375,-0.8341875553846358,1.001046416123584,-2.3667323462113736
1760565906790187000,0.64518701171875,-0.6134235745221376,0.9869774856954813,-2.2776713762283323
1760565906800215800,0.6552158203125,-0.33914661465883256,0.837476221666485,-2.109492738127708
1760565906810244900,0.665244873046875,-0.06517886687517166,0.5198006669184193,-2.01274238268584
1760565906820274000,0.67527392578125,0.023702362626791,0.05939352493938058,-2.0240106495447456
1760565906830302700,0.685302734375,0.03878419642448425,-0.42389658957496285,-2.039177092885971
1760565906840331800,0.695331787109375,0.1927513538211584,-0.8264243740372359,-1.985761144518852
1760565906850360800,0.70536083984375,0.36190380539000033,-1.160022560788691,-1.9669459694117306
1760565906860389600,0.7153896484375,0.4402706551402807,-1.4341694645315408,-1.988491446265578
1760565906870418000,0.72541796875,0.4909732528954744,-1.5955499669246374,-2.04289056045115
1760565906880446700,0.73544677734375,0.5579904411137103,-1.6449710004366933,-2.1012083093851803
