time,seconds_elapsed,z,y,x
1760565906248623000,0.103623046875,-0.839608907699585,-0.10497740656137466,-0.539340615272522
1760565906258652200,0.113652099609375,-0.61574387550354,-0.35262900590896606,-1.2748154401779175
1760565906268681000,0.123680908203125,-0.47772374749183655,-0.4725363254547119,-1.9838197231292725
1760565906278710000,0.1337099609375,-0.3961138427257538,-0.600059449672699,-2.5456430912017822
1760565906288739300,0.1437392578125,-0.3103252649307251,-0.7801005840301514,-2.9335532188415527
1760565906298768100,0.15376806640625,-0.25238287448883057,-0.9910357594490051,-3.1923890113830566
1760565906308797200,0.163797119140625,-0.2813422679901123,-1.2821539640426636,-3.254878044128418
1760565906318826200,0.173826171875,-0.38117191195487976,-1.4578826427459717,-3.0782837867736816
1760565906328854800,0.183854736328125,-0.48541659116744995,-1.3536289930343628,-2.69357967376709
1760565906338883800,0.1938837890625,-0.5645936727523804,-0.99944669008255,-2.1495652198791504
1760565906348912600,0.20391259765625,-0.5749345421791077,-0.4094406068325043,-1.5053261518478394
1760565906358941700,0.213941650390625,-0.49942758679389954,0.3108925223350525,-0.8294387459754944
1760565906368970800,0.223970703125,-0.346530020236969,1.057644248008728,-0.18907898664474487
1760565906378999800,0.233999755859375,-0.14228154718875885,1.7437424659729004,0.3541960120201111
1760565906389028900,0.24402880859375,0.061690472066402435,2.34993839263916,0.7615424394607544
1760565906399056600,0.254056640625,0.2115422934293747,2.821847438812256,1.0227020978927612
1760565906409085700,0.264085693359375,0.3023470640182495,3.081829309463501,1.1461442708969116
1760565906419114800,0.27411474609375,0.3291427493095398,3.076190948486328,1.172493577003479
1760565906429143800,0.284143798828125,0.33868056535720825,2.8622095584869385,1.120418667793274
1760565906439172900,0.2941728515625,0.43616876006126404,2.6352877616882324,0.9372658133506775
1760565906449202000,0.304201904296875,0.5917772054672241,2.2545735836029053,0.6724079251289368
1760565906459231000,0.31423095703125,0.6882371306419373,1.798509120941162,0.46721965074539185
1760565906469259800,0.324259765625,0.7848532199859619,1.4601801633834839,0.3275984525680542
1760565906479288800,0.334288818359375,0.9158216714859009,1.1694585084915161,0.31663766503334045
1760565906489318000,0.34431787109375,1.0726758241653442,0.8926040530204773,0.4158167243003845
1760565906499346700,0.3543466796875,1.210091471672058,0.6436480283737183,0.5635369420051575
1760565906509375700,0.364375732421875,1.2789400815963745,0.5313991904258728,0.743151068687439
1760565906519404800,0.37440478515625,1.2577719688415527,0.5474340319633484,0.9062446355819702
1760565906529433600,0.38443359375,1.152696967124939,0.5670858025550842,1.0197443962097168
1760565906539463000,0.394462890625,0.977548360824585,0.41586220264434814,1.0363832712173462
