time,seconds_elapsed,z,y,x
1760565911594066700,5.449066650390625,47.704872131347656,48.71485900878906,-2.807342529296875
1760565911604095700,5.459095703125,48.30714416503906,48.49637985229492,-3.2823944091796875
1760565911614124500,5.46912451171875,48.83026885986328,48.55255889892578,-3.7110328674316406
1760565911624153600,5.479153564453125,49.148353576660156,48.67441177368164,-4.002082824707031
1760565911634182700,5.4891826171875,49.643028259277344,48.704158782958984,-4.197429656982422
1760565911644211500,5.49921142578125,49.95850372314453,48.760555267333984,-4.5433807373046875
1760565911654240500,5.509240478515625,50.860626220703125,48.67393112182617,-4.730926513671875
1760565911664269600,5.51926953125,51.020347595214844,48.58501434326172,-5.332767486572266
1760565911674298600,5.529298583984375,51.54277801513672,48.67725372314453,-5.7290496826171875
1760565911684327700,5.53932763671875,51.95965576171875,48.731502532958984,-6.117439270019531
1760565911694356700,5.549356689453125,52.71697235107422,48.609214782714844,-6.951557159423828
1760565911704385500,5.559385498046875,53.53717041015625,48.60530471801758,-7.758846282958984
1760565911714414600,5.56941455078125,54.22826385498047,48.49501037597656,-8.453926086425781
1760565911724443600,5.579443603515625,54.54297637939453,48.47834396362305,-8.89699935913086
1760565911734472400,5.589472412109375,55.02232360839844,48.330623626708984,-9.476737976074219
1760565911744501500,5.59950146484375,55.79545593261719,48.36595153808594,-10.206413269042969
1760565911754530600,5.609530517578125,56.3995361328125,48.313907623291016,-11.413127899169922
1760565911764559600,5.6195595703125,56.80632781982422,48.20008850097656,-12.080413818359375
1760565911774588700,5.629588623046875,57.709861755371094,48.116233825683594,-13.159439086914062
1760565911784617700,5.63961767578125,57.991455078125,48.07631301879883,-14.356510162353516
1760565911794646500,5.649646484375,58.74579620361328,48.020084381103516,-15.515262603759766
1760565911804675600,5.659675537109375,59.35099792480469,47.93817138671875,-16.20969009399414
1760565911814704600,5.66970458984375,59.87821960449219,48.06594467163086,-17.09442901611328
1760565911824733700,5.679733642578125,60.356895446777344,47.851375579833984,-18.066360473632812
1760565911834762500,5.689762451171875,60.8514404296875,47.779300689697266,-18.754405975341797
1760565911844791600,5.69979150390625,61.10423278808594,47.76536178588867,-19.596477508544922
1760565911854820600,5.709820556640625,61.32568359375,47.71732711791992,-20.649829864501953
1760565911864849700,5.719849609375,61.67649841308594,47.63701248168945,-21.74234390258789
1760565911874878700,5.729878662109375,62.2261962890625,47.354736328125,-22.27967071533203
1760565911884907800,5.73990771484375,62.18572998046875,47.27507400512695,-22.320392608642578
1760565911894936600,5.7499365234375,62.1815185546875,47.31247329711914,-22.653949737548828
