time,roll_deg,pitch_deg,yaw_deg
0,84.0407029928697,13.1896813825749,-164.962982919208
0.001,112.124250991581,17.51498353236,-140.436601709922
0.002,126.223149213827,19.6896261199987,-134.793266979864
0.003,134.732261698702,21.0096797783399,-133.114293172287
0.004,140.447030437187,21.9027276979285,-132.590738240129
0.005,144.564487002266,22.5513720409402,-132.481867429112
0.006,147.682794040194,23.0467961059297,-132.538257449445
0.007,150.134135032097,23.4396350454637,-132.662307300049
0.008,152.117771351451,23.7602657380534,-132.812061137921
0.009,153.760487427673,24.0280168498571,-132.968465008251
0.01,155.146799832971,24.2557710931548,-133.122686935232
0.011,156.335218251578,24.452442914661,-133.270721762081
0.012,157.367535154229,24.6243944020674,-133.410927768695
0.013,158.274398601316,24.7762849987096,-133.542840478816
0.014,159.078794807022,24.91160272422,-133.666578561938
0.015,159.798301375368,25.0330080150239,-133.782538088638
0.016,160.446589382065,25.142563025812,-133.891232786646
0.017,161.034451089208,25.2418885676732,-133.993210477206
0.018,161.570519341313,25.3322739928026,-134.08901014325
0.019,162.061781423369,25.4147556973678,-134.179140970246
0.02,162.513952781383,25.4901742179095,-134.264073324437
0.021,162.931753255411,25.5592164287293,-134.344236170036
0.022,163.319114257222,25.622447179756,-134.420017874175
0.023,163.679336226031,25.6803333265255,-134.491768695789
0.024,164.015209746775,25.7332621961986,-134.559804008532
0.025,164.329109749651,25.7815559282079,-134.624407734754
0.026,164.623069518575,25.8254827172191,-134.685835711039
0.027,164.898839380355,25.8652657025973,-134.744318844846
0.028,165.15793364724,25.9010900500311,-134.800066000808
0.029,165.401668463533,25.9331086299966,-134.853266599366
0.03,165.631192544247,25.9614465963495,-134.904092934324
0.031,165.847512311807,25.9862050945341,-134.952702228031
0.032,166.05151258236,26.0074642745695,-134.999238448223
0.033,166.243973689939,26.0252857435534,-135.04383391213
0.034,166.425585739216,26.0397145620468,-135.086610702831
0.035,166.596960528073,26.0507808656456,-135.127681921263
0.036,166.758641567097,26.0585011753719,-135.167152795179
0.037,166.911112535286,26.0628794468462,-135.205121664145
0.038,167.054804443167,26.0639078975135,-135.241680857496
0.039,167.190101721326,26.0615676427533,-135.276917480213
0.04,167.317347410522,26.0558291649597,-135.310914119847
0.041,167.436847596458,26.046652634216,-135.343749486078
0.042,167.548875205827,26.0339880947019,-135.375498993107
0.043,167.653673259136,26.0177755272189,-135.406235293916
0.044,167.751457658628,25.9979447950158,-135.436028774452
0.045,167.842419575787,25.9744154772965,-135.464948014962
0.046,167.926727491444,25.9470965922745,-135.493060225032
0.047,168.004528932141,25.9158862093101,-135.520431658355
0.048,168.075951938556,25.8806709474373,-135.547128012839
0.049,168.141106295174,25.8413253553953,-135.573214821353
0.05,168.200084544787,25.7977111660431,-135.598757838216
0.051,168.252962806523,25.749676415707,-135.623823426459
0.052,168.299801411798,25.6970544165204,-135.648478950849
0.053,168.34064536872,25.639662567098,-135.672793181788
0.054,168.375524661914,25.5773009838901,-135.696836715366
0.055,168.404454391259,25.5097509322117,-135.720682415129
0.056,168.42743474974,25.4367730321721,-135.744405881478
0.057,168.444450837119,25.3581052104781,-135.768085955096
0.058,168.455472302554,25.2734603642831,-135.791805261314
0.059,168.46045280532,25.1825236978485,-135.815650802982
0.06,168.459329278399,25.0849496867487,-135.83971461008
0.061,168.452020974588,24.9803586176862,-135.864094455054
0.062,168.438428268819,24.8683326447725,-135.888894643572
0.063,168.418431183243,24.7484112955703,-135.914226891023
0.064,168.391887592935,24.6200863526637,-135.940211295508
0.065,168.358631059429,24.4827960297206,-135.966977418087
0.066,168.318468226018,24.3359183560991,-135.994665480319
0.067,168.271175692097,24.1787636829205,-136.023427687262
0.068,168.216496262776,24.0105662292197,-136.053429680359
0.069,168.154134443076,23.830474603984,-136.084852117993
0.07,168.083751011462,23.6375412758483,-136.117892370498
0.071,168.004956462719,23.4307110277975,-136.152766298942
0.072,167.917303051878,23.2088085455516,-136.18971006005
0.073,167.820275094471,22.9705254685888,-136.228981839312
0.074,167.713277077722,22.7144075144729,-136.270863355429
0.075,167.595619004064,22.4388427135077,-136.315660896019
0.076,167.466498211589,22.1420524151061,-136.363705531138
0.077,167.324976681502,21.8220876067653,-136.415352005029
0.078,167.169952532126,21.4768342638517,-136.47097563352
0.079,167.000123991517,21.1040329118973,-136.530966359496
0.08,166.813943614483,20.7013191940351,-136.595719002721
0.081,166.609559850933,20.2662936185908,-136.665618801123
